Reporting Period,Managing Agency,PID,Agency Project Name,Current Phase,Completion Date,Completion Date Type,Variance (day),Reason for Forecast Completion Change,Data Date
202305,CUNY,72,BKLYNC-Performing Arts Center,Close-out,07/03/2018,Actual,,,04/26/2023
202305,CUNY,73,BARUCH-17 Lexington Avenue,Close-out,06/01/2016,Actual,,,04/26/2023
202305,CUNY,74,HTSCC-ADA Work,Close-out,12/20/2010,Actual,,,04/26/2023
202305,CUNY,75,HTSCC-HVAC Work,Pre-Design,,Forecast,,,04/26/2023
202309,CUNY,75,HTSCC-HVAC Work,Pre-Design,,Forecast,,,02/02/2024
202401,CUNY,75,HTSCC-HVAC Work,Design,05/12/2025,Forecast,,,05/03/2024
202405,CUNY,75,HTSCC-HVAC Work,Design,05/12/2025,Forecast,0,,05/03/2024
202409,CUNY,75,HTSCC-HVAC Work,Construction,05/12/2025,Forecast,0,,11/15/2024
202501,CUNY,75,HTSCC-HVAC Work,Construction,05/12/2025,Forecast,0,,03/20/2025
202505,CUNY,75,HTSCC-HVAC Work,Close-out,06/06/2024,Actual,-340,,06/25/2025
202305,CUNY,76,BKLYNC-ADA Upgrade,,06/01/2020,Actual,,,04/26/2023
202305,CUNY,77,Central Office - Data Center,Construction,06/01/2023,Forecast,,,04/26/2023
202309,CUNY,77,Central Office - Data Center,Construction,09/30/2024,Forecast,487,,02/02/2024
202401,CUNY,77,Central Office - Data Center,Construction,10/30/2024,Forecast,30,,05/03/2024
202405,CUNY,77,Central Office - Data Center,Construction,10/30/2024,Forecast,0,,05/03/2024
202409,CUNY,77,Central Office - Data Center,Close-out,10/10/2024,Actual,-20,,11/15/2024
202305,CUNY,78,BMCC - Upgrades to Theatres,Design,12/01/2024,Forecast,,,04/26/2023
202309,CUNY,78,BMCC - Upgrades to Theatres,Design,12/01/2024,Forecast,0,,02/02/2024
202401,CUNY,78,BMCC - Upgrades to Theatres,Design,07/01/2025,Forecast,212,,05/03/2024
202405,CUNY,78,BMCC - Upgrades to Theatres,Design,07/01/2025,Forecast,0,,05/03/2024
202409,CUNY,78,BMCC - Upgrades to Theatres,Design,07/01/2027,Forecast,730,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,11/15/2024
202501,CUNY,78,BMCC - Upgrades to Theatres,Design,07/01/2027,Forecast,0,,03/20/2025
202505,CUNY,78,BMCC - Upgrades to Theatres,Design,07/01/2027,Forecast,0,,06/25/2025
202509,CUNY,78,BMCC - Upgrades to Theatres,Design,07/01/2027,Forecast,0,,11/17/2025
202601,CUNY,78,BMCC - Upgrades to Theatres,Design,07/01/2027,Forecast,0,,04/16/2026
202605,CUNY,78,BMCC - Upgrades to Theatres,Design,07/01/2027,Forecast,0,,05/28/2026
202305,CUNY,79,HTSCC 450 GC FA Upgrade,Construction,10/31/2023,Forecast,,,04/26/2023
202309,CUNY,79,HTSCC 450 GC FA Upgrade,Construction,12/29/2023,Forecast,59,,02/02/2024
202401,CUNY,79,HTSCC 450 GC FA Upgrade,Construction,04/01/2026,Forecast,824,,05/03/2024
202405,CUNY,79,HTSCC 450 GC FA Upgrade,Construction,04/01/2026,Forecast,0,,05/03/2024
202409,CUNY,79,HTSCC 450 GC FA Upgrade,Construction,04/01/2026,Forecast,0,,11/15/2024
202501,CUNY,79,HTSCC 450 GC FA Upgrade,Construction,04/01/2026,Forecast,0,,03/20/2025
202505,CUNY,79,HTSCC 450 GC FA Upgrade,Construction,04/01/2026,Forecast,0,,06/25/2025
202509,CUNY,79,HTSCC 450 GC FA Upgrade,Construction,01/31/2025,Actual,-425,,11/17/2025
202305,CUNY,80,BRXCC - Campus Wide Fire Alarm,Construction,06/01/2024,Forecast,,,04/26/2023
202309,CUNY,80,BRXCC - Campus Wide Fire Alarm,Construction,12/30/2024,Forecast,212,,02/02/2024
202401,CUNY,80,BRXCC - Campus Wide Fire Alarm,Construction,12/30/2024,Forecast,0,,05/03/2024
202405,CUNY,80,BRXCC - Campus Wide Fire Alarm,Construction,12/30/2024,Forecast,0,,05/03/2024
202409,CUNY,80,BRXCC - Campus Wide Fire Alarm,Construction,12/30/2024,Forecast,0,,11/15/2024
202501,CUNY,80,BRXCC - Campus Wide Fire Alarm,Construction,12/30/2025,Forecast,365,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,03/20/2025
202505,CUNY,80,BRXCC - Campus Wide Fire Alarm,Construction,12/30/2025,Forecast,0,,06/25/2025
202509,CUNY,80,BRXCC - Campus Wide Fire Alarm,Construction,07/24/2026,Actual,206,,11/17/2025
202305,CUNY,82,CUNY School of Law 2 Court,Close-out,11/30/2022,Actual,,,04/26/2023
202305,CUNY,83,LGCC - Schenker M Bldg,Design,,Forecast,,,04/26/2023
202309,CUNY,83,LGCC - Schenker M Bldg,Design,,Forecast,,,02/02/2024
202401,CUNY,83,LGCC - Schenker M Bldg,Design,12/12/2025,Forecast,,,05/03/2024
202405,CUNY,83,LGCC - Schenker M Bldg,Design,12/12/2025,Forecast,0,,05/03/2024
202409,CUNY,83,LGCC - Schenker M Bldg,Construction,12/12/2025,Forecast,0,,11/15/2024
202501,CUNY,83,LGCC - Schenker M Bldg,Construction,12/12/2025,Forecast,0,,03/20/2025
202505,CUNY,83,LGCC - Schenker M Bldg,Construction,01/01/2026,Forecast,20,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,06/25/2025
202509,CUNY,83,LGCC - Schenker M Bldg,Construction,10/20/2026,Actual,292,,11/17/2025
202305,CUNY,84,Eugenio Maria De Hostos Com. College - 425 GC ASAP Program,Close-out,,Forecast,,,04/26/2023
202309,CUNY,84,Eugenio Maria De Hostos Com. College - 425 GC ASAP Program,Close-out,11/15/2023,Actual,,,02/02/2024
202305,CUNY,85,BRXCC - HVAC Upgrades - CUNY,Design,01/30/2025,Forecast,,,04/26/2023
202309,CUNY,85,BRXCC - HVAC Upgrades - CUNY,Design,04/01/2026,Forecast,426,,02/02/2024
202401,CUNY,85,BRXCC - HVAC Upgrades - CUNY,Design,04/01/2025,Forecast,-365,,05/03/2024
202405,CUNY,85,BRXCC - HVAC Upgrades - CUNY,Design,04/01/2025,Forecast,0,,05/03/2024
202409,CUNY,85,BRXCC - HVAC Upgrades - CUNY,Design,04/01/2025,Forecast,0,,11/15/2024
202501,CUNY,85,BRXCC - HVAC Upgrades - CUNY,Design,04/01/2025,Forecast,0,,03/20/2025
202505,CUNY,85,BRXCC - HVAC Upgrades - CUNY,Design,12/31/2025,Forecast,274,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,06/25/2025
202509,CUNY,85,BRXCC - HVAC Upgrades - CUNY,Construction,12/31/2025,Forecast,0,,11/17/2025
202601,CUNY,85,BRXCC - HVAC Upgrades - CUNY,Construction,12/31/2025,Forecast,0,,04/16/2026
202605,CUNY,85,BRXCC - HVAC Upgrades - CUNY,Construction,12/31/2025,Forecast,0,,05/28/2026
202309,CUNY,4459,BRXCC - Boiler Plant Upgrade,Design,12/26/2025,Forecast,,,02/02/2024
202401,CUNY,4459,BRXCC - Boiler Plant Upgrade,Design,12/26/2026,Forecast,365,,05/03/2024
202405,CUNY,4459,BRXCC - Boiler Plant Upgrade,Design,12/26/2026,Forecast,0,,05/03/2024
202409,CUNY,4459,BRXCC - Boiler Plant Upgrade,Construction,12/26/2026,Forecast,0,,11/15/2024
202501,CUNY,4459,BRXCC - Boiler Plant Upgrade,Construction,12/26/2026,Forecast,0,,03/20/2025
202505,CUNY,4459,BRXCC - Boiler Plant Upgrade,Construction,12/26/2026,Forecast,0,,06/25/2025
202509,CUNY,4459,BRXCC - Boiler Plant Upgrade,Construction,10/01/2026,Actual,-86,,11/17/2025
202309,CUNY,4460,York-Tennis Crt&Field Hse Rstrm.Upg,Pre-Design,,Forecast,,,02/02/2024
202401,CUNY,4460,York-Tennis Crt&Field Hse Rstrm.Upg,Pre-Design,05/12/2025,Forecast,,,05/03/2024
202405,CUNY,4460,York-Tennis Crt&Field Hse Rstrm.Upg,Pre-Design,05/12/2025,Forecast,0,,05/03/2024
202409,CUNY,4460,York-Tennis Crt&Field Hse Rstrm.Upg,Design,12/12/2025,Forecast,214,,11/15/2024
202501,CUNY,4460,York-Tennis Crt&Field Hse Rstrm.Upg,Pre-Design,12/12/2025,Forecast,0,,03/20/2025
202505,CUNY,4460,York-Tennis Crt&Field Hse Rstrm.Upg,Design,12/12/2025,Forecast,0,,06/25/2025
202509,CUNY,4460,York-Tennis Crt&Field Hse Rstrm.Upg,Design,12/30/2028,Forecast,1114,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,11/17/2025
202601,CUNY,4460,York-Tennis Crt&Field Hse Rstrm.Upg,Design,12/30/2028,Forecast,0,,04/16/2026
202605,CUNY,4460,York-Tennis Crt&Field Hse Rstrm.Upg,Design,12/30/2028,Forecast,0,,05/28/2026
202309,CUNY,4461,York-Upgrade Cafeteria Equipment,Pre-Design,,Forecast,,,02/02/2024
202401,CUNY,4461,York-Upgrade Cafeteria Equipment,Pre-Design,05/12/2026,Forecast,,,05/03/2024
202405,CUNY,4461,York-Upgrade Cafeteria Equipment,Pre-Design,05/12/2026,Forecast,0,,05/03/2024
202409,CUNY,4461,York-Upgrade Cafeteria Equipment,Design,05/12/2026,Forecast,0,,11/15/2024
202501,CUNY,4461,York-Upgrade Cafeteria Equipment,Design,05/12/2026,Forecast,0,,03/20/2025
202505,CUNY,4461,York-Upgrade Cafeteria Equipment,Construction,08/30/2025,Forecast,-255,,06/25/2025
202509,CUNY,4461,York-Upgrade Cafeteria Equipment,Construction,09/01/2025,Actual,2,,11/17/2025
202309,CUNY,4462,QNBCC-Ph II Fire Alarm,Design,02/01/2025,Forecast,,,02/02/2024
202401,CUNY,4462,QNBCC-Ph II Fire Alarm,Design,03/01/2025,Forecast,28,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,05/03/2024
202405,CUNY,4462,QNBCC-Ph II Fire Alarm,Design,03/01/2025,Forecast,0,,05/03/2024
202409,CUNY,4462,QNBCC-Ph II Fire Alarm,Construction,03/01/2025,Forecast,0,,11/15/2024
202501,CUNY,4462,QNBCC-Ph II Fire Alarm,Construction,03/01/2025,Forecast,0,,03/20/2025
202505,CUNY,4462,QNBCC-Ph II Fire Alarm,Construction,10/29/2025,Forecast,242,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,06/25/2025
202509,CUNY,4462,QNBCC-Ph II Fire Alarm,Construction,10/29/2025,Forecast,0,,11/17/2025
202601,CUNY,4462,QNBCC-Ph II Fire Alarm,Construction,10/29/2025,Forecast,0,,04/16/2026
202605,CUNY,4462,QNBCC-Ph II Fire Alarm,Construction,10/29/2026,Actual,365,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,05/28/2026
202401,CUNY,4768,QNBCC-LL97 Fan System Upgrade,Pre-Design,12/29/2024,Forecast,,,05/03/2024
202405,CUNY,4768,QNBCC-LL97 Fan System Upgrade,Pre-Design,12/29/2024,Forecast,0,,05/03/2024
202409,CUNY,4768,QNBCC-LL97 Fan System Upgrade,Pre-Design,06/12/2025,Forecast,165,,11/15/2024
202501,CUNY,4768,QNBCC-LL97 Fan System Upgrade,Design,06/12/2025,Forecast,0,,03/20/2025
202505,CUNY,4768,QNBCC-LL97 Fan System Upgrade,Design,02/01/2026,Forecast,234,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,06/25/2025
202509,CUNY,4768,QNBCC-LL97 Fan System Upgrade,Design,08/04/2026,Forecast,184,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,11/17/2025
202601,CUNY,4768,QNBCC-LL97 Fan System Upgrade,Construction,08/04/2026,Forecast,0,,04/16/2026
202605,CUNY,4768,QNBCC-LL97 Fan System Upgrade,Construction,08/04/2026,Forecast,0,,05/28/2026
202401,CUNY,4769,KGBCC-Performing Arts Renovati,Design,12/01/2024,Forecast,,,05/03/2024
202405,CUNY,4769,KGBCC-Performing Arts Renovati,Design,12/01/2024,Forecast,0,,05/03/2024
202409,CUNY,4769,KGBCC-Performing Arts Renovati,Design,12/01/2024,Forecast,0,,11/15/2024
202501,CUNY,4769,KGBCC-Performing Arts Renovati,Design,03/20/2026,Forecast,474,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,03/20/2025
202505,CUNY,4769,KGBCC-Performing Arts Renovati,Design,03/20/2026,Forecast,0,,06/25/2025
202509,CUNY,4769,KGBCC-Performing Arts Renovati,Design,03/20/2026,Forecast,0,,11/17/2025
202601,CUNY,4769,KGBCC-Performing Arts Renovati,Design,03/20/2026,Forecast,0,,04/16/2026
202605,CUNY,4769,KGBCC-Performing Arts Renovati,Design,01/01/2027,Forecast,287,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,05/28/2026
202401,CUNY,4770,CCNY- Student Accessibility,Pre-Design,12/29/2024,Forecast,,,05/03/2024
202405,CUNY,4770,CCNY- Student Accessibility,Pre-Design,12/29/2024,Forecast,0,,05/03/2024
202409,CUNY,4770,CCNY- Student Accessibility,Design,12/12/2025,Forecast,348,,11/15/2024
202501,CUNY,4770,CCNY- Student Accessibility,Design,12/12/2025,Forecast,0,,03/20/2025
202505,CUNY,4770,CCNY- Student Accessibility,Design,12/12/2025,Forecast,0,,06/25/2025
202509,CUNY,4770,CCNY- Student Accessibility,Design,12/12/2025,Forecast,0,,11/17/2025
202601,CUNY,4770,CCNY- Student Accessibility,Construction Procurement,12/12/2025,Forecast,0,,04/16/2026
202605,CUNY,4770,CCNY- Student Accessibility,Construction Procurement,12/01/2026,Forecast,354,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,05/28/2026
202401,CUNY,4771,Guttman CC - AV/IT Equipment,Pre-Design,,Forecast,,,05/03/2024
202405,CUNY,4771,Guttman CC - AV/IT Equipment,Pre-Design,,Forecast,,,05/03/2024
202409,CUNY,4771,Guttman CC - AV/IT Equipment,Construction,12/12/2025,Forecast,,,11/15/2024
202501,CUNY,4771,Guttman CC - AV/IT Equipment,Construction,12/12/2025,Forecast,0,,03/20/2025
202505,CUNY,4771,Guttman CC - AV/IT Equipment,Close-out,12/12/2025,Forecast,0,,06/25/2025
202509,CUNY,4771,Guttman CC - AV/IT Equipment,Close-out,03/08/2027,Forecast,451,,11/17/2025
202601,CUNY,4771,Guttman CC - AV/IT Equipment,Close-out,03/08/2027,Forecast,0,,04/16/2026
202605,CUNY,4771,Guttman CC - AV/IT Equipment,Close-out,01/01/2026,Actual,-431,,05/28/2026
202501,CUNY,5733,DOHMH - Relocation Warehouse from 540 Kingsland Ave Brooklyn,Construction Procurement,06/30/2026,Forecast,,,03/04/2025
202505,CUNY,5733,DOHMH - Relocation Warehouse from 540 Kingsland Ave Brooklyn,Construction Procurement,06/30/2026,Forecast,0,,06/25/2025
202509,CUNY,5733,DOHMH - Relocation Warehouse from 540 Kingsland Ave Brooklyn,Construction Procurement,06/30/2026,Forecast,0,,11/17/2025
202601,CUNY,5733,DOHMH - Relocation Warehouse from 540 Kingsland Ave Brooklyn,Construction Procurement,06/30/2026,Forecast,0,,04/16/2026
202605,CUNY,5733,DOHMH - Relocation Warehouse from 540 Kingsland Ave Brooklyn,Construction Procurement,06/30/2026,Forecast,0,,05/28/2026
202305,DCAS,3311,210 JORALEMON ST. OCA RELOCATION,Construction,06/03/2025,Forecast,,,06/28/2023
202309,DCAS,3311,210 JORALEMON ST. OCA RELOCATION,Construction,06/03/2025,Forecast,0,,01/04/2024
202401,DCAS,3311,210 JORALEMON ST. OCA RELOCATION,Construction Procurement,12/31/2025,Forecast,211,,05/02/2024
202405,DCAS,3311,210 JORALEMON ST. OCA RELOCATION,Construction,12/31/2025,Forecast,0,,07/11/2024
202409,DCAS,3311,210 JORALEMON ST. OCA RELOCATION,Construction,12/31/2026,Forecast,365,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,11/01/2024
202501,DCAS,3311,210 JORALEMON ST. OCA RELOCATION,Construction,12/31/2026,Forecast,0,,03/04/2025
202505,DCAS,3311,210 JORALEMON ST. OCA RELOCATION,Construction,12/31/2026,Forecast,0,,06/18/2025
202509,DCAS,3311,210 JORALEMON ST. OCA RELOCATION,Construction,12/31/2026,Forecast,0,,11/17/2025
202601,DCAS,3311,210 JORALEMON ST. OCA RELOCATION,Construction,05/31/2027,Forecast,151,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,04/15/2026
202605,DCAS,3311,210 JORALEMON ST. OCA RELOCATION,Construction,05/31/2027,Forecast,0,,05/28/2026
202305,DCAS,3312,851 GRAND CONCOURSE - ELEVATORS,Construction Procurement,12/01/2027,Forecast,,,06/28/2023
202309,DCAS,3312,851 GRAND CONCOURSE - ELEVATORS,Construction Procurement,12/01/2027,Forecast,0,,01/04/2024
202401,DCAS,3312,851 GRAND CONCOURSE - ELEVATORS,Construction Procurement,12/01/2027,Forecast,0,,05/02/2024
202405,DCAS,3312,851 GRAND CONCOURSE - ELEVATORS,Construction Procurement,12/01/2027,Forecast,0,,07/11/2024
202409,DCAS,3312,851 GRAND CONCOURSE - ELEVATORS,Construction Procurement,12/01/2027,Forecast,0,,11/01/2024
202501,DCAS,3312,851 GRAND CONCOURSE - ELEVATORS,Construction Procurement,12/01/2027,Forecast,0,,03/04/2025
202505,DCAS,3312,851 GRAND CONCOURSE - ELEVATORS,Construction Procurement,12/01/2027,Forecast,0,,06/18/2025
202509,DCAS,3312,851 GRAND CONCOURSE - ELEVATORS,Construction,06/30/2028,Forecast,212,PROJECT DELAYED PENDING APPROVAL OF NECESSARY PERMITS,11/17/2025
202601,DCAS,3312,851 GRAND CONCOURSE - ELEVATORS,Construction,06/30/2028,Forecast,0,,04/15/2026
202605,DCAS,3312,851 GRAND CONCOURSE - ELEVATORS,Construction,06/30/2028,Forecast,0,,05/28/2026
202305,DCAS,3313,851 GRAND CONCOURSE - HOUSING COURT RELOCATION,Construction Procurement,03/01/2028,Forecast,,,06/28/2023
202309,DCAS,3313,851 GRAND CONCOURSE - HOUSING COURT RELOCATION,Construction Procurement,03/01/2028,Forecast,0,,01/04/2024
202401,DCAS,3313,851 GRAND CONCOURSE - HOUSING COURT RELOCATION,Close-out,09/30/2022,Actual,,,05/02/2024
202305,DCAS,3314,125 WORTH ST - FREIGHT ELEVATOR,Design,12/01/2024,Forecast,,,06/28/2023
202309,DCAS,3314,125 WORTH ST - FREIGHT ELEVATOR,Design,12/01/2024,Forecast,0,,01/04/2024
202401,DCAS,3314,125 WORTH ST - FREIGHT ELEVATOR,Design,12/01/2024,Forecast,0,,05/02/2024
202405,DCAS,3314,125 WORTH ST - FREIGHT ELEVATOR,Design,12/01/2024,Forecast,0,,07/11/2024
202409,DCAS,3314,125 WORTH ST - FREIGHT ELEVATOR,Construction Procurement,12/01/2025,Forecast,365,,11/01/2024
202501,DCAS,3314,125 WORTH ST - FREIGHT ELEVATOR,Design,12/01/2026,Forecast,365,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,03/04/2025
202505,DCAS,3314,125 WORTH ST - FREIGHT ELEVATOR,Design,12/01/2026,Forecast,0,,06/18/2025
202509,DCAS,3314,125 WORTH ST - FREIGHT ELEVATOR,Design,12/01/2026,Forecast,0,,11/17/2025
202601,DCAS,3314,125 WORTH ST - FREIGHT ELEVATOR,Design,06/01/2027,Forecast,182,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,04/15/2026
202605,DCAS,3314,125 WORTH ST - FREIGHT ELEVATOR,Design,06/01/2028,Forecast,366,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,05/28/2026
202305,DCAS,3315,345 ADAMS RESTACKING PLAN,Construction,12/01/2025,Forecast,,,06/28/2023
202309,DCAS,3315,345 ADAMS RESTACKING PLAN,Construction,12/01/2025,Forecast,0,,01/04/2024
202401,DCAS,3315,345 ADAMS RESTACKING PLAN,Construction,12/01/2025,Forecast,0,,05/02/2024
202405,DCAS,3315,345 ADAMS RESTACKING PLAN,Construction,12/01/2025,Forecast,0,,07/11/2024
202409,DCAS,3315,345 ADAMS RESTACKING PLAN,Construction,12/01/2025,Forecast,0,,11/01/2024
202501,DCAS,3315,345 ADAMS RESTACKING PLAN,Construction,12/01/2025,Forecast,0,,03/04/2025
202505,DCAS,3315,345 ADAMS RESTACKING PLAN,Close-out,09/30/2022,Actual,-1158,,06/18/2025
202305,DCAS,3316,209 JORALEMON ST.- ELEVATOR UPGRADE,Construction Procurement,04/01/2025,Forecast,,,06/28/2023
202309,DCAS,3316,209 JORALEMON ST.- ELEVATOR UPGRADE,Construction Procurement,04/01/2025,Forecast,0,,01/04/2024
202401,DCAS,3316,209 JORALEMON ST.- ELEVATOR UPGRADE,Construction Procurement,04/01/2025,Forecast,0,,05/02/2024
202405,DCAS,3316,209 JORALEMON ST.- ELEVATOR UPGRADE,Construction Procurement,09/01/2026,Forecast,518,PROJECT DELAYED PENDING RELEASE OF NEW TECHNOLOGY,07/11/2024
202409,DCAS,3316,209 JORALEMON ST.- ELEVATOR UPGRADE,Construction Procurement,09/01/2026,Forecast,0,,11/01/2024
202501,DCAS,3316,209 JORALEMON ST.- ELEVATOR UPGRADE,Construction,09/01/2026,Forecast,0,,03/04/2025
202505,DCAS,3316,209 JORALEMON ST.- ELEVATOR UPGRADE,Construction,09/01/2026,Forecast,0,,06/18/2025
202509,DCAS,3316,209 JORALEMON ST.- ELEVATOR UPGRADE,Construction,09/01/2026,Forecast,0,,11/17/2025
202601,DCAS,3316,209 JORALEMON ST.- ELEVATOR UPGRADE,Construction,09/01/2026,Forecast,0,,04/15/2026
202605,DCAS,3316,209 JORALEMON ST.- ELEVATOR UPGRADE,Construction,09/01/2026,Forecast,0,,05/28/2026
202305,DCAS,3317,210 JORALEMON ST - SIDEWALK ELEVATOR MODERNIZATION,Construction Procurement,04/01/2025,Forecast,,,06/28/2023
202309,DCAS,3317,210 JORALEMON ST - SIDEWALK ELEVATOR MODERNIZATION,Construction Procurement,04/01/2025,Forecast,0,,01/04/2024
202401,DCAS,3317,210 JORALEMON ST - SIDEWALK ELEVATOR MODERNIZATION,Construction Procurement,04/01/2025,Forecast,0,,05/02/2024
202405,DCAS,3317,210 JORALEMON ST - SIDEWALK ELEVATOR MODERNIZATION,Construction Procurement,04/01/2025,Forecast,0,,07/11/2024
202409,DCAS,3317,210 JORALEMON ST - SIDEWALK ELEVATOR MODERNIZATION,Construction Procurement,08/01/2025,Forecast,122,,11/01/2024
202501,DCAS,3317,210 JORALEMON ST - SIDEWALK ELEVATOR MODERNIZATION,Construction Procurement,08/01/2026,Forecast,365,PROJECT DELAYED PENDING RESOLUTION OF LEGAL ISSUES,03/04/2025
202505,DCAS,3317,210 JORALEMON ST - SIDEWALK ELEVATOR MODERNIZATION,Construction Procurement,08/01/2026,Forecast,0,,06/18/2025
202509,DCAS,3317,210 JORALEMON ST - SIDEWALK ELEVATOR MODERNIZATION,Construction Procurement,08/01/2026,Forecast,0,,11/17/2025
202601,DCAS,3317,210 JORALEMON ST - SIDEWALK ELEVATOR MODERNIZATION,Construction Procurement,06/01/2027,Forecast,304,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,04/15/2026
202605,DCAS,3317,210 JORALEMON ST - SIDEWALK ELEVATOR MODERNIZATION,Construction Procurement,12/01/2027,Forecast,183,PROJECT DELAYED DUE TO UNFORESEEN SITE/FIELD CONDITION,05/28/2026
202305,DCAS,3318,"198 E 161 ST - ELEVATOR ,MODERNIZATION",Construction Procurement,04/04/2025,Forecast,,,06/28/2023
202309,DCAS,3318,"198 E 161 ST - ELEVATOR ,MODERNIZATION",Construction Procurement,04/04/2025,Forecast,0,,01/04/2024
202401,DCAS,3318,"198 E 161 ST - ELEVATOR ,MODERNIZATION",Construction Procurement,04/04/2025,Forecast,0,,05/02/2024
202405,DCAS,3318,"198 E 161 ST - ELEVATOR ,MODERNIZATION",Construction Procurement,04/04/2025,Forecast,0,,07/11/2024
202409,DCAS,3318,"198 E 161 ST - ELEVATOR ,MODERNIZATION",Construction Procurement,09/01/2026,Forecast,515,,11/01/2024
202501,DCAS,3318,"198 E 161 ST - ELEVATOR ,MODERNIZATION",Construction Procurement,09/01/2027,Forecast,365,PROJECT DELAYED PENDING RESOLUTION OF LEGAL ISSUES,03/04/2025
202505,DCAS,3318,"198 E 161 ST - ELEVATOR ,MODERNIZATION",Construction Procurement,09/01/2027,Forecast,0,,06/18/2025
202509,DCAS,3318,"198 E 161 ST - ELEVATOR ,MODERNIZATION",Construction Procurement,09/01/2027,Forecast,0,,11/17/2025
202601,DCAS,3318,"198 E 161 ST - ELEVATOR ,MODERNIZATION",Construction Procurement,06/01/2028,Forecast,274,PROJECT DELAYED PENDING RESOLUTION OF LEGAL ISSUES,04/15/2026
202605,DCAS,3318,"198 E 161 ST - ELEVATOR ,MODERNIZATION",Construction Procurement,09/01/2028,Forecast,92,PROJECT DELAYED PENDING RESOLUTION OF LEGAL ISSUES,05/28/2026
202305,DCAS,3319,100 GOLD ST - ELEVATOR MODERNIZATION,Design,12/01/2025,Forecast,,,06/28/2023
202309,DCAS,3319,100 GOLD ST - ELEVATOR MODERNIZATION,Design,12/01/2025,Forecast,0,,01/04/2024
202401,DCAS,3319,100 GOLD ST - ELEVATOR MODERNIZATION,Design,12/01/2025,Forecast,0,,05/02/2024
202405,DCAS,3319,100 GOLD ST - ELEVATOR MODERNIZATION,Design,12/01/2025,Forecast,0,,07/11/2024
202409,DCAS,3319,100 GOLD ST - ELEVATOR MODERNIZATION,Construction Procurement,12/01/2026,Forecast,365,,11/01/2024
202501,DCAS,3319,100 GOLD ST - ELEVATOR MODERNIZATION,Construction Procurement,12/01/2028,Forecast,731,PROJECT DELAYED PENDING RESOLUTION OF LEGAL ISSUES,03/04/2025
202505,DCAS,3319,100 GOLD ST - ELEVATOR MODERNIZATION,Construction Procurement,12/01/2028,Forecast,0,,06/18/2025
202509,DCAS,3319,100 GOLD ST - ELEVATOR MODERNIZATION,Construction Procurement,12/01/2028,Forecast,0,,11/17/2025
202601,DCAS,3319,100 GOLD ST - ELEVATOR MODERNIZATION,Construction Procurement,12/01/2028,Forecast,0,,04/15/2026
202605,DCAS,3319,100 GOLD ST - ELEVATOR MODERNIZATION,Construction Procurement,12/01/2028,Forecast,0,,05/28/2026
202305,DCAS,3320,100 GOLD ST - FIRE ALARM,Construction Procurement,12/01/2026,Forecast,,,06/28/2023
202309,DCAS,3320,100 GOLD ST - FIRE ALARM,Construction Procurement,12/01/2026,Forecast,0,,01/04/2024
202401,DCAS,3320,100 GOLD ST - FIRE ALARM,Construction,12/15/2026,Forecast,14,,05/02/2024
202405,DCAS,3320,100 GOLD ST - FIRE ALARM,Construction,12/15/2026,Forecast,0,,07/11/2024
202409,DCAS,3320,100 GOLD ST - FIRE ALARM,Construction,12/15/2026,Forecast,0,,11/01/2024
202501,DCAS,3320,100 GOLD ST - FIRE ALARM,Construction,12/15/2026,Forecast,0,,03/04/2025
202505,DCAS,3320,100 GOLD ST - FIRE ALARM,Construction,12/15/2026,Forecast,0,,06/18/2025
202509,DCAS,3320,100 GOLD ST - FIRE ALARM,Construction,12/15/2026,Forecast,0,,11/17/2025
202601,DCAS,3320,100 GOLD ST - FIRE ALARM,Construction,12/15/2026,Forecast,0,,04/15/2026
202605,DCAS,3320,100 GOLD ST - FIRE ALARM,Construction,12/15/2026,Forecast,0,,05/28/2026
202305,DCAS,3321,151-20 JAMAICA AVE.- CHILLER REPLACEMENT,Pre-Design,01/26/2026,Forecast,,,06/28/2023
202309,DCAS,3321,151-20 JAMAICA AVE.- CHILLER REPLACEMENT,Pre-Design,01/26/2026,Forecast,0,,01/04/2024
